,iid,title,year,Animation,Comedy,Children's,Fantasy,Adventure,Romance,Drama,Action,Crime,Thriller,Horror,Sci-Fi,Documentary,War,Musical,Mystery,Film-Noir,Western,node_id,Director,Actor
0,0,Toy Story,1995,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6040,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
1,1,Jumanji,1995,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6041,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce"
2,2,Grumpier Old Men,1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6042,Howard Deutch,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret"
3,3,Waiting to Exhale,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6043,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon"
4,4,Father of the Bride Part II,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6044,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley"
5,5,Heat,1995,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,6045,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
6,6,Sabrina,1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6046,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand"
7,7,Tom and Huck,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6047,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket"
8,8,Sudden Death,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6048,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright"
9,9,GoldenEye,1995,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,6049,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen"
10,10,"American President, The",1995,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6050,,
11,11,Dracula: Dead and Loving It,1995,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6051,Mel Brooks,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck"
12,12,Balto,1995,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6052,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings"
13,13,Nixon,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6053,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris"
14,14,Cutthroat Island,1995,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,6054,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin"
15,15,Casino,1995,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6055,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
16,16,Sense and Sensibility,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6056,Ang Lee,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet"
17,17,Four Rooms,1995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6057,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna"
18,18,Ace Ventura: When Nature Calls,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6058,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi"
19,19,Money Train,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6059,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake"
20,20,Get Shorty,1995,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,6060,Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito"
21,21,Copycat,1995,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,6061,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara"
22,22,Assassins,1995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6062,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov"
23,23,Powder,1995,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,6063,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum"
24,24,Leaving Las Vegas,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6064,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis"
25,25,Othello,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6065,Oliver Parker,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker"
26,26,Now and Then,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6066,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith"
27,27,Persuasion,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6067,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave"
28,28,"City of Lost Children, The",1995,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,6068,,
29,29,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6069,,
30,30,Dangerous Minds,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6070,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett"
31,31,Twelve Monkeys,1995,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,6071,,
33,32,Babe,1995,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6072,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving"
34,33,Carrington,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6073,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West"
35,34,Dead Man Walking,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6074,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry"
37,35,It Takes Two,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6075,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen"
38,36,Clueless,1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6076,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
39,37,"Cry, the Beloved Country",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6077,Darrell Roodt,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton"
40,38,Richard III,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6078,Richard Loncraine,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson"
41,39,Dead Presidents,1995,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,6079,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez"
42,40,Restoration,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6080,Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker"
43,41,Mortal Kombat,1995,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6081,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa"
